,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,target
159,42.0,4,228456.0,9,13.0,5,8,2,2,1,0.0,0.0,50.0,39,1
160,68.0,0,38317.0,3,2.0,0,0,1,4,0,0.0,0.0,20.0,39,1
161,25.0,4,252752.0,11,9.0,4,8,4,4,0,0.0,0.0,40.0,39,1
162,44.0,5,78374.0,12,14.0,0,4,4,1,0,0.0,0.0,40.0,39,1
163,28.0,4,88419.0,11,9.0,4,4,1,1,0,0.0,0.0,40.0,9,1
164,45.0,6,201080.0,12,14.0,2,12,0,4,1,0.0,0.0,40.0,39,0
165,36.0,4,207157.0,15,10.0,0,8,4,4,0,0.0,0.0,40.0,26,1
166,39.0,1,235485.0,7,12.0,4,4,1,4,1,0.0,0.0,42.0,39,1
167,46.0,7,102628.0,12,14.0,6,11,4,4,1,0.0,0.0,40.0,39,1
168,18.0,4,25828.0,1,7.0,4,6,3,4,1,0.0,0.0,16.0,39,1
169,66.0,2,54826.0,8,11.0,6,10,1,4,0,0.0,0.0,20.0,39,1
170,27.0,4,124953.0,11,9.0,4,8,1,4,1,0.0,1980.0,40.0,39,1
171,28.0,7,175325.0,11,9.0,2,11,0,4,1,0.0,0.0,40.0,39,1
172,51.0,4,96062.0,15,10.0,2,12,0,4,1,0.0,1977.0,40.0,39,0
173,27.0,4,428030.0,9,13.0,4,3,1,4,1,0.0,0.0,50.0,39,1
174,28.0,7,149624.0,9,13.0,2,10,0,4,1,0.0,0.0,40.0,39,0
175,27.0,4,253814.0,11,9.0,3,12,4,4,0,0.0,0.0,25.0,39,1
176,21.0,4,312956.0,11,9.0,4,3,3,2,1,0.0,0.0,40.0,39,1
177,34.0,4,483777.0,11,9.0,4,6,1,2,1,0.0,0.0,40.0,39,1
178,18.0,4,183930.0,11,9.0,4,8,3,4,1,0.0,0.0,12.0,39,1
179,33.0,4,37274.0,9,13.0,2,10,0,4,1,0.0,0.0,65.0,39,1
180,44.0,2,181344.0,15,10.0,2,4,0,2,1,0.0,0.0,38.0,39,0
181,43.0,4,114580.0,15,10.0,0,1,1,4,0,0.0,0.0,40.0,39,1
182,30.0,4,633742.0,15,10.0,4,3,1,2,1,0.0,0.0,45.0,39,1
183,40.0,4,286370.0,5,4.0,2,7,0,4,1,0.0,0.0,40.0,26,0
184,37.0,1,29054.0,15,10.0,2,1,0,4,1,0.0,0.0,42.0,39,0
185,34.0,4,304030.0,11,9.0,2,1,0,2,1,0.0,0.0,40.0,39,1
186,41.0,6,143129.0,9,13.0,0,4,1,4,0,0.0,0.0,40.0,39,1
187,53.0,0,135105.0,9,13.0,0,0,1,4,0,0.0,0.0,50.0,39,1
188,31.0,4,99928.0,12,14.0,2,10,5,4,0,0.0,0.0,50.0,39,1
189,58.0,7,109567.0,10,16.0,2,10,0,4,1,0.0,0.0,1.0,39,0
190,38.0,4,155222.0,15,10.0,0,7,1,2,0,0.0,0.0,28.0,39,1
191,24.0,4,159567.0,15,10.0,2,7,0,4,1,0.0,0.0,40.0,39,1
192,41.0,2,523910.0,9,13.0,2,3,0,2,1,0.0,0.0,40.0,39,1
193,47.0,4,120939.0,15,10.0,2,13,0,4,1,0.0,0.0,45.0,39,1
194,41.0,1,130760.0,9,13.0,2,13,0,4,1,0.0,0.0,24.0,39,1
195,23.0,4,197387.0,4,3.0,2,14,2,4,1,0.0,0.0,40.0,26,1
196,36.0,4,99374.0,15,10.0,0,3,1,4,1,0.0,0.0,40.0,39,1
197,40.0,1,56795.0,12,14.0,4,4,1,4,0,14084.0,0.0,55.0,39,0
198,35.0,4,138992.0,12,14.0,2,10,2,4,1,7298.0,0.0,40.0,39,0
199,24.0,6,32921.0,11,9.0,4,12,1,4,1,0.0,0.0,40.0,39,1
200,26.0,4,397317.0,12,14.0,4,10,1,4,0,0.0,1876.0,40.0,39,1
201,19.0,0,170653.0,11,9.0,4,0,3,4,1,0.0,0.0,40.0,22,1
202,51.0,4,259323.0,9,13.0,2,4,0,4,1,0.0,0.0,50.0,39,0
203,42.0,2,254817.0,15,10.0,4,10,1,4,0,0.0,1340.0,40.0,39,1
204,37.0,7,48211.0,11,9.0,0,1,4,4,0,0.0,0.0,35.0,39,1
205,18.0,4,140164.0,1,7.0,4,12,3,4,0,0.0,0.0,40.0,39,1
206,36.0,4,128757.0,9,13.0,2,8,0,2,1,7298.0,0.0,36.0,39,0
207,35.0,4,36270.0,11,9.0,0,3,1,4,1,0.0,0.0,60.0,39,1
208,58.0,5,210563.0,11,9.0,2,12,5,4,0,15024.0,0.0,35.0,39,0
209,17.0,4,65368.0,1,7.0,4,12,3,4,0,0.0,0.0,12.0,39,1
210,44.0,2,160943.0,11,9.0,2,14,0,2,1,0.0,0.0,40.0,39,1
211,37.0,4,208358.0,11,9.0,2,3,0,4,1,0.0,0.0,40.0,39,0
212,35.0,4,153790.0,15,10.0,4,12,1,0,0,0.0,0.0,40.0,39,1
213,60.0,4,85815.0,11,9.0,2,3,0,1,1,0.0,0.0,40.0,39,1
214,54.0,5,125417.0,5,4.0,2,7,0,4,1,0.0,0.0,40.0,39,0
215,37.0,4,635913.0,9,13.0,4,4,1,2,1,0.0,0.0,60.0,39,0
216,50.0,4,313321.0,7,12.0,0,12,1,4,0,0.0,0.0,40.0,39,1
217,38.0,4,182609.0,9,13.0,2,12,0,4,1,0.0,0.0,50.0,31,1
218,45.0,4,109434.0,9,13.0,2,10,0,4,1,0.0,0.0,55.0,39,1
219,25.0,4,255004.0,0,6.0,4,3,1,4,1,0.0,0.0,40.0,39,1
220,31.0,4,197860.0,15,10.0,2,6,0,4,1,0.0,0.0,40.0,39,1
221,64.0,0,187656.0,3,2.0,0,0,1,4,1,0.0,0.0,40.0,39,1
222,90.0,4,51744.0,11,9.0,4,8,1,2,1,0.0,2206.0,40.0,39,1
223,54.0,4,176681.0,11,9.0,2,1,0,2,1,0.0,0.0,20.0,39,1
224,53.0,2,140359.0,13,1.0,4,7,1,4,0,0.0,0.0,35.0,39,1
225,18.0,4,243313.0,11,9.0,4,12,3,4,0,0.0,0.0,40.0,39,1
226,60.0,0,24215.0,0,6.0,0,0,1,0,0,0.0,0.0,10.0,39,1
227,66.0,6,167687.0,11,9.0,2,5,0,4,1,1409.0,0.0,50.0,39,1
228,75.0,4,314209.0,8,11.0,6,1,1,4,0,0.0,0.0,20.0,4,1
229,65.0,4,176796.0,11,9.0,0,1,1,4,0,0.0,0.0,40.0,39,1
230,35.0,4,538583.0,1,7.0,5,14,1,2,1,3674.0,0.0,40.0,39,1
231,41.0,4,130408.0,11,9.0,0,12,4,2,0,0.0,0.0,38.0,39,1
232,25.0,4,159732.0,15,10.0,4,1,1,4,1,0.0,0.0,42.0,39,1
233,33.0,4,110978.0,15,10.0,0,3,2,3,0,0.0,0.0,40.0,39,1
234,28.0,4,76714.0,14,15.0,4,10,1,4,1,0.0,0.0,55.0,39,0
235,59.0,7,268700.0,11,9.0,2,8,0,4,1,0.0,0.0,40.0,39,1
236,40.0,7,170525.0,15,10.0,4,1,1,4,0,0.0,0.0,38.0,39,1
237,41.0,4,180138.0,9,13.0,2,4,0,4,1,0.0,0.0,50.0,20,0
238,38.0,2,115076.0,12,14.0,2,4,0,4,1,0.0,0.0,70.0,39,0
239,23.0,4,115458.0,11,9.0,4,14,3,4,1,0.0,0.0,40.0,39,1
240,40.0,4,347890.0,9,13.0,2,10,0,4,1,0.0,0.0,40.0,39,0
241,41.0,6,196001.0,11,9.0,2,8,5,4,0,0.0,0.0,20.0,39,1
242,24.0,7,273905.0,7,12.0,2,11,0,4,1,0.0,0.0,50.0,39,1
243,20.0,0,119156.0,15,10.0,4,0,3,4,1,0.0,0.0,20.0,39,1
244,38.0,4,179488.0,15,10.0,0,3,1,4,1,0.0,1741.0,40.0,39,1
245,56.0,4,203580.0,11,9.0,2,1,0,4,1,0.0,0.0,35.0,0,1
246,58.0,4,236596.0,11,9.0,2,1,0,4,1,0.0,0.0,45.0,39,0
247,32.0,4,183916.0,11,9.0,4,8,1,4,0,0.0,0.0,34.0,39,1
248,40.0,4,207578.0,7,12.0,2,13,0,4,1,0.0,1977.0,60.0,39,0
249,45.0,4,153141.0,11,9.0,2,1,0,4,1,0.0,0.0,40.0,0,1
250,41.0,4,112763.0,14,15.0,2,10,5,4,0,0.0,0.0,40.0,39,0
251,42.0,4,390781.0,9,13.0,2,1,5,2,0,0.0,0.0,40.0,39,1
252,59.0,2,171328.0,0,6.0,6,8,4,2,0,0.0,0.0,30.0,39,1
253,19.0,2,27382.0,15,10.0,4,1,3,4,1,0.0,0.0,40.0,39,1
254,58.0,4,259014.0,15,10.0,4,14,1,4,1,0.0,0.0,20.0,39,1
255,42.0,6,303044.0,11,9.0,2,5,0,1,1,0.0,0.0,40.0,1,0
256,20.0,4,117789.0,11,9.0,4,8,3,4,0,0.0,0.0,40.0,39,1
257,32.0,4,172579.0,11,9.0,5,8,1,4,0,0.0,0.0,30.0,39,1
258,45.0,4,187666.0,8,11.0,6,4,1,4,0,0.0,0.0,45.0,39,1
259,50.0,4,204518.0,5,4.0,0,3,1,4,1,0.0,0.0,40.0,39,1
260,36.0,4,150042.0,9,13.0,0,10,3,4,0,0.0,0.0,40.0,39,1
261,45.0,4,98092.0,11,9.0,2,12,0,4,1,0.0,0.0,60.0,39,1
262,17.0,4,245918.0,1,7.0,4,8,3,4,1,0.0,0.0,12.0,39,1
263,59.0,4,146013.0,15,10.0,2,12,0,4,1,4064.0,0.0,40.0,39,1
264,26.0,4,378322.0,1,7.0,2,3,0,4,1,0.0,0.0,40.0,39,1
265,37.0,5,257295.0,15,10.0,2,4,0,1,1,0.0,0.0,75.0,37,0
266,19.0,0,218956.0,15,10.0,4,0,3,4,1,0.0,0.0,24.0,2,1
267,64.0,4,21174.0,11,9.0,2,4,0,4,1,0.0,0.0,40.0,39,0
268,33.0,4,185480.0,9,13.0,4,10,1,4,0,0.0,0.0,45.0,39,1
269,33.0,4,222205.0,11,9.0,2,3,5,4,0,0.0,0.0,40.0,39,0
270,61.0,4,69867.0,11,9.0,2,4,0,4,1,0.0,0.0,40.0,39,0
271,17.0,4,191260.0,6,5.0,4,8,3,4,1,1055.0,0.0,24.0,39,1
272,50.0,6,30653.0,12,14.0,2,5,0,4,1,2407.0,0.0,98.0,39,1
273,27.0,2,209109.0,12,14.0,4,10,3,4,1,0.0,0.0,35.0,39,1
274,30.0,4,70377.0,11,9.0,0,10,3,4,0,0.0,0.0,40.0,39,1
275,43.0,4,477983.0,11,9.0,2,6,0,2,1,0.0,0.0,40.0,39,1
276,44.0,4,170924.0,15,10.0,2,3,0,4,1,7298.0,0.0,40.0,39,0
277,35.0,4,190174.0,15,10.0,4,4,1,4,0,0.0,0.0,40.0,39,1
278,25.0,4,193787.0,15,10.0,4,13,3,4,0,0.0,0.0,40.0,39,1
279,24.0,4,279472.0,15,10.0,2,7,5,4,0,7298.0,0.0,48.0,39,0
280,22.0,4,34918.0,9,13.0,4,10,1,4,0,0.0,0.0,15.0,11,1
281,42.0,2,97688.0,15,10.0,2,3,0,4,1,5178.0,0.0,40.0,39,0
282,34.0,4,175413.0,7,12.0,0,12,4,2,0,0.0,0.0,45.0,39,1
283,60.0,4,173960.0,9,13.0,0,10,1,4,0,0.0,0.0,42.0,39,1
284,21.0,4,205759.0,11,9.0,4,6,3,4,1,0.0,0.0,40.0,39,1
285,57.0,1,425161.0,12,14.0,2,12,0,4,1,15024.0,0.0,40.0,39,0
286,41.0,4,220531.0,14,15.0,2,10,0,4,1,0.0,0.0,60.0,39,0
287,50.0,4,176609.0,15,10.0,0,8,1,4,1,0.0,0.0,45.0,39,1
288,25.0,4,371987.0,9,13.0,4,4,1,4,0,0.0,0.0,40.0,39,1
289,50.0,4,193884.0,5,4.0,2,3,0,4,1,0.0,0.0,40.0,7,1
290,36.0,4,200352.0,9,13.0,2,10,0,4,1,0.0,0.0,45.0,39,1
291,31.0,4,127595.0,11,9.0,0,10,1,4,0,0.0,0.0,40.0,39,1
292,29.0,2,220419.0,9,13.0,4,11,1,4,1,0.0,0.0,56.0,39,1
293,21.0,4,231931.0,15,10.0,4,12,3,4,1,0.0,0.0,45.0,39,1
294,27.0,4,248402.0,9,13.0,4,13,4,2,0,0.0,0.0,40.0,39,1
295,65.0,4,111095.0,11,9.0,2,14,0,4,1,0.0,0.0,16.0,39,1
296,37.0,5,57424.0,9,13.0,0,12,1,4,0,0.0,0.0,60.0,39,1
297,39.0,0,157443.0,12,14.0,2,0,5,1,0,3464.0,0.0,40.0,0,1
298,24.0,4,278130.0,11,9.0,4,3,3,4,1,0.0,0.0,40.0,39,1
299,38.0,4,169469.0,11,9.0,0,12,1,4,1,0.0,0.0,80.0,39,1
300,48.0,4,146268.0,9,13.0,2,1,0,4,1,7688.0,0.0,40.0,39,0
301,21.0,4,153718.0,15,10.0,4,8,1,1,0,0.0,0.0,25.0,39,1
302,31.0,4,217460.0,11,9.0,2,14,0,4,1,0.0,0.0,45.0,39,0
303,55.0,4,238638.0,11,9.0,2,12,0,4,1,4386.0,0.0,40.0,39,0
304,24.0,4,303296.0,15,10.0,2,1,5,1,0,0.0,0.0,40.0,25,1
305,43.0,4,173321.0,11,9.0,0,1,1,4,0,0.0,0.0,40.0,39,1
306,26.0,4,193945.0,7,12.0,4,13,1,4,1,0.0,0.0,45.0,39,1
